PayerAccountId,"LinkedAccountId","BillingPeriodStartDate","BillingPeriodEndDate","ProductName","Region","TotalCost"
123456789,"987654321","01/02/2026","28/02/2026","Amazon Elastic Compute Cloud","us-east2","21.380,00"
123456789,"987654321","01/02/2026","28/02/2026","Amazon Relational Database Service","us-east1","32.415,65"
123456789,"987654321","01/02/2026","28/02/2026","Amazon Simple Storage Service","us-east1","3.989,00"
123456789,"987654321","01/02/2026","28/02/2026","AWS Lambda","us-east1","922,08"
123456789,"987654321","01/02/2026","28/02/2026","Amazon Elastic Compute Cloud","us-east2","17.654,20"
123456789,"987654321","01/02/2026","28/02/2026","Amazon Elastic Compute Cloud","us-east2","5.344,55"
123456789,"987654321","01/02/2026","28/02/2026","Amazon Elastic Compute Cloud","us-east2","4.761,10"
123456789,"987332221","01/02/2026","28/02/2026","Amazon Relational Database Service","us-east1","28.923,35"
123456789,"987654321","01/02/2026","28/02/2026","Amazon Simple Storage Service","us-east1","7.890,45"
123456789,"987654321","01/02/2026","28/02/2026","Amazon Simple Storage Service","us-east1","12.875,81"
123456789,"987332221","01/02/2026","28/02/2026","Amazon Simple Storage Service","us-east1","533,44"
123456789,"987654321","01/02/2026","28/02/2026","AWS Lambda","us-east1","127,21"
